Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S133529908,Evening Grosbeak,Coccothraustes vespertinus,31425,1,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,557102081 557102091
S133511652,Evening Grosbeak,Coccothraustes vespertinus,31425,3,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,557102871
S133511652,Grey-crowned Rosy-Finch,Leucosticte tephrocotis,31634,0,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133536509,Grey-crowned Rosy-Finch (Grey-crowned),Leucosticte tephrocotis [tephrocotis Group],31638,1,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,1:50 PM,eBird - Stationary Count,29,0,,,3,,Finally!!!,,557101721 557101741 557101751 557101781 557101791 557101821
S133521583,Black Rosy-Finch,Leucosticte atrata,31644,2,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,557102401 557102411 557102421 557102521 557102531 557102541 557102611 557102621
S133511652,Black Rosy-Finch,Leucosticte atrata,31644,0,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133521583,Brown-capped Rosy-Finch,Leucosticte australis,31646,80,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,557102461 557102701 557102711 557102721 557102731 557102741 557102751 557102761 557102771 557102781
S133529908,Brown-capped Rosy-Finch,Leucosticte australis,31646,40,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,557101981 557102181 557102221
S133536509,Brown-capped Rosy-Finch,Leucosticte australis,31646,80,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,1:50 PM,eBird - Stationary Count,29,0,,,3,,,,557101661 557101691 557101851 557101861
S133511652,Brown-capped Rosy-Finch,Leucosticte australis,31646,0,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133521583,Cassin's Finch,Haemorhous cassinii,31667,10,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,Cassin's Finch,Haemorhous cassinii,31667,20,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,557102151
S133511652,Cassin's Finch,Haemorhous cassinii,31667,50,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,Rough estimate. Group of 17 in a single tree counted at some point. Easily 3 times this numbers observed throughout our search,,
S133524124,Cassin's Finch,Haemorhous cassinii,31667,30,US-CO,Gunnison,L23550544,"18 Belleview Drive, Crested Butte, Colorado, US (38.907, -106.969)",38.9068582,-106.9692995,2023-04-12,11:48 AM,eBird - Stationary Count,9,1,,,3,,,,
S133521583,Pine Siskin,Spinus pinus,31931,50,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,Pine Siskin,Spinus pinus,31931,50,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,Pine Siskin,Spinus pinus,31931,100,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,"Very rough estimate, a few groups of 20-30 in flightd",,
S133524124,Pine Siskin,Spinus pinus,31931,50,US-CO,Gunnison,L23550544,"18 Belleview Drive, Crested Butte, Colorado, US (38.907, -106.969)",38.9068582,-106.9692995,2023-04-12,11:48 AM,eBird - Stationary Count,9,1,,,3,,,,
S133521583,Dark-eyed Junco,Junco hyemalis,32449,10,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,Dark-eyed Junco,Junco hyemalis,32449,10,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,Dark-eyed Junco,Junco hyemalis,32449,30,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133524124,Dark-eyed Junco,Junco hyemalis,32449,1,US-CO,Gunnison,L23550544,"18 Belleview Drive, Crested Butte, Colorado, US (38.907, -106.969)",38.9068582,-106.9692995,2023-04-12,11:48 AM,eBird - Stationary Count,9,1,,,3,,,,
S133511652,Song Sparrow,Melospiza melodia,32601,1,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133565547,Canyon Towhee,Melozone fusca,32654,2,US-CO,Fremont,L23558184,"3370 Grandview Avenue, Cañon City, Colorado, US (38.44, -105.174)",38.4395452,-105.1739143,2023-04-12,7:38 PM,eBird - Stationary Count,7,1,,,3,,,,557098841 559470851
S133564472,Red-winged Blackbird,Agelaius phoeniceus,33101,10,US-CO,Fremont,L444747,MacKenzie Ave. bridge,38.4223606,-105.1786637,2023-04-12,6:57 PM,eBird - Traveling Count,20,1,0.47,,2,,,With mady,
S133521583,Red-winged Blackbird,Agelaius phoeniceus,33101,20,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,10:08 AM,eBird - Traveling Count,61,1,0.2,,3,,,,
S133529908,Red-winged Blackbird,Agelaius phoeniceus,33101,5,US-CO,Gunnison,L23550026,"15 Paradise Road, Crested Butte, Colorado, US (38.906, -106.972)",38.9092238,-106.9710894,2023-04-12,12:01 PM,eBird - Traveling Count,60,1,0.72,,3,,,,
S133511652,Red-winged Blackbird,Agelaius phoeniceus,33101,50,US-CO,Gunnison,L23548180,"172 Blackstock Drive, Crested Butte, Colorado, US (38.815, -106.885)",38.8151439,-106.8845287,2023-04-12,8:30 AM,eBird - Traveling Count,68,1,5.7,,3,,,,
S133668369,Canada Goose,Branta canadensis,319,2,US-CO,Bent,L268772,Bent CR HH east of CR 13,38.0848,-103.17154,2023-04-13,9:14 PM,eBird - Stationary Count,12,1,,,2,,,,
S133661901,Canada Goose,Branta canadensis,319,2,US-CO,Bent,L23575928,"Road Hh, Las Animas, Colorado, US (38.085, -103.125)",38.0853689,-103.1246378,2023-04-13,7:06 PM,eBird - Stationary Count,6,1,,,3,,,,
S133613377,Canada Goose,Branta canadensis,319,10,US-CO,Pueblo,L268752,Lake Pueblo SP--Valco Ponds,38.2599014,-104.6997499,2023-04-13,9:12 AM,eBird - Traveling Count,89,1,2.4,,3,,,,
S133598482,Canada Goose,Branta canadensis,319,4,US-CO,Pueblo,L622267,Lake Pueblo SWA--swallows,38.3034088,-104.8497391,2023-04-13,7:01 AM,eBird - Traveling Count,75,1,1.74,,3,,,,
