taxon_sort,common_name,scientific_name,species_code,aba,world_lifer,US_lifer,media_lifer,freq_US,freq_MI,freq_IN,freq_KS,freq_CO4,freq_TX,freq_AZ,freq_CA,freq_UT,freq_NV,freq_ID,freq_ND,freq_MT,freq_CO6,freq_WA,midwest,colorado,texas,arizona,california,mountainwest,cascadia,freq_max,Column1,Column2,target,region,exotic,vagrant,comment,Sensitive
6029,Purple Sandpiper ,Calidris maritima,pursan,1,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,FALSE,700.00%,0,,,,,
6032,Baird's Sandpiper ,Calidris bairdii,baisan,1,,,,0.00%,0.01%,0.01%,6.64%,1.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.39%,0.00%,0.00%,0.00%,6.64%,1.00%,2.00%,0.00%,0.00%,0.39%,0.00%,6.64%,FALSE,463.49%,0,,,,,
6033,Little Stint ,Calidris minuta,litsti,4,,1,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,TRUE,#DIV/0!,0,,,1,,
6035,Least Sandpiper ,Calidris minutilla,leasan,1,,,,2.00%,0.14%,1.03%,4.75%,2.00%,8.00%,1.00%,1.00%,0.00%,0.00%,0.01%,0.40%,0.00%,0.00%,0.00%,4.75%,2.00%,8.00%,1.00%,1.00%,0.40%,0.00%,8.00%,FALSE,326.56%,0,,,,,
6036,White-rumped Sandpiper ,Calidris fuscicollis,whrsan,1,,,,0.00%,0.00%,0.01%,0.52%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.04%,1.78%,0.00%,0.00%,0.00%,0.52%,0.00%,1.00%,0.00%,0.00%,1.78%,0.00%,1.78%,FALSE,377.85%,0,,,,,
6038,Buff-breasted Sandpiper ,Calidris subruficollis,bubsan,1,,,1,0.00%,0.00%,0.00%,0.05%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,1.00%,FALSE,664.77%,0,,,,,
6040,Pectoral Sandpiper ,Calidris melanotos,pecsan,1,,,,1.00%,1.30%,5.26%,5.35%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.35%,0.00%,0.00%,0.00%,5.35%,0.00%,4.00%,0.00%,0.00%,0.35%,0.00%,5.35%,FALSE,386.19%,0,,,,,
6043,Semipalmated Sandpiper ,Calidris pusilla,semsan,1,,,,1.00%,0.01%,0.07%,4.11%,1.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.03%,1.67%,0.00%,0.00%,0.00%,4.11%,1.00%,3.00%,0.00%,0.00%,1.67%,0.00%,4.11%,FALSE,294.17%,0,,,,,
6045,Western Sandpiper ,Calidris mauri,wessan,1,,,,1.00%,0.01%,0.02%,0.50%,1.00%,2.00%,1.00%,1.00%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.50%,1.00%,2.00%,1.00%,1.00%,0.11%,0.00%,2.00%,FALSE,249.93%,0,,,,,
6050,Short-billed Dowitcher ,Limnodromus griseus,shbdow,1,,,,1.00%,0.01%,0.10%,0.22%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.11%,0.00%,0.00%,0.00%,0.22%,0.00%,2.00%,0.00%,0.00%,0.11%,0.00%,2.00%,FALSE,602.49%,0,,,,,
